Genre,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,44,0,0,38,0,0,47,0,45,76,124,80,88,58,56,49,66,48,65,115,86,106,108,106,73,101,95,56,57,49,67,91,104,108,108,138,213,306,226,206,209,327,519,504,446,553,461,477,551,548,869,803,672,584,516,584,765,849,859,751,898,979,976,1169,933,823,882,1292,1248,1846,1609,1921,1437,1460,1515,1661,1596,1987,1980,2381,2692,2612,2874,3145,3558,3653,3726,3843,3827,4067,4395,4407,4798,5683,6967,7917,8513,8199,8592,7372
adventure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,76,108,82,0,71,74,71,84,74,62,0,0,87,123,63,69,73,0,0,63,0,83,91,92,107,123,119,102,106,93,76,72,0,68,99,92,115,110,160,319,336,433,567,585,904,734,771,724,906,678,642,840,1089,1223,1419,1165,1004,848,722,771,876,855,786,750,825,962,1140,921,885,933,1002,997,1499,1330,1365,982,1191,1275,1252,1326,1478,1709,1983,1591,2099,2216,2166,2523,2356,2820,3249,3021,3565,3892,3617,3680,4337,4714,5126,5253,5142,5308,4682
animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,282,186,177,288,242,203,173,184,245,279,236,199,184,201,228,252,231,226,223,237,209,232,195,205,217,236,198,196,160,0,165,190,196,180,196,188,191,194,183,193,223,277,470,975,859,550,774,665,920,733,914,567,618,635,766,987,853,866,834,615,728,946,1115,1048,1076,1151,1463,1514,1956,1869,2190,1706,1552,1843,2166,1939,1863,2259,2584,2669,3185,3409,3870,3656,4254,5154,5273,5440,6661,7957,7661,7328,7662,8809,9294,9199,9340,9183,7540
biography,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,5,0,5,7,6,0,12,8,0,0,0,11,11,0,0,7,0,7,0,6,8,0,8,14,14,19,16,19,33,31,15,26,17,17,16,15,16,15,29,23,20,35,53,61,94,95,87,78,87,100,159,334,161,89,93,66,89,103,134,164,177,156,172,203,178,208,234,260,214,214,256,253,205,218,259,281,300,248,198,238,234,245,282,334,443,432,468,542,606,716,729,680,659,801,938,1140,1098,1313,2082,3182,3409,3648,4297,4223,2781
comedy,0,0,0,0,0,0,0,0,0,0,0,729,1091,1349,1608,1704,2473,2957,3011,2657,2131,1584,1126,998,1203,956,888,736,779,917,966,1013,892,826,722,757,686,710,714,697,758,801,824,0,0,0,0,0,0,0,0,0,0,883,1156,1345,1592,2005,2240,2450,2467,2608,2685,2667,3007,3334,3187,3223,3245,3625,3485,3552,3367,3692,3949,3883,4135,4136,3589,3922,4031,3904,3614,3480,3636,3498,3686,3553,3863,3862,4577,5586,5008,5753,5966,6435,6705,7326,8502,9355,10119,11011,11701,12597,12308,13784,15487,16928,19289,21357,24553,25827,28336,31985,35893,42202,47993,51410,51749,45649
crime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,186,204,161,106,105,0,96,105,97,71,79,72,0,0,0,0,78,97,115,133,111,107,132,171,163,170,185,116,95,108,0,75,85,130,151,150,191,289,347,470,444,496,529,580,907,953,1269,1291,1563,887,742,787,802,965,1110,1068,1175,887,934,1158,1315,1321,1339,1199,1082,862,954,1044,718,784,944,974,1303,1223,1200,1261,1370,1553,1348,1435,1659,1861,2206,2446,2483,2545,2528,2950,3291,3336,3935,3601,4215,4341,4928,5188,5870,6138,7240,7708,7495,7510,7063
documentary,520,777,1139,1155,1240,1319,1173,1642,986,904,921,772,952,1070,1221,704,928,976,510,537,524,586,591,409,384,376,0,0,0,335,0,0,0,0,0,0,373,361,0,0,475,534,410,0,0,0,0,0,0,0,0,0,0,340,411,444,513,566,546,636,574,687,651,729,813,907,1106,1162,1233,1087,1130,1152,1163,1292,1267,1245,1227,1300,1258,1339,1456,1473,1474,1476,1660,1469,1547,1612,1655,1982,1863,1888,1906,1977,2185,2222,2470,2644,3025,3285,3624,3968,4682,5569,6256,7590,8443,10694,12563,14344,15585,16744,17437,18797,20707,22200,24194,24443,23302,19184
drama,0,0,0,0,0,0,0,0,0,0,0,0,807,1264,1714,1996,2782,3237,3255,3113,1969,1321,941,806,759,660,658,555,513,0,0,521,576,0,0,529,523,0,551,536,607,665,690,662,543,0,0,0,0,0,584,668,810,1281,1692,2158,2516,2742,2925,3556,3947,3877,3466,3701,3837,4162,3486,3687,3727,4302,4734,5003,4522,4900,4896,4954,4627,5011,5034,4814,4875,4543,4576,4906,4869,5090,4823,4636,4973,5307,5774,5944,5940,6539,6563,7242,7213,7371,8459,9426,10393,11320,12472,13903,14484,15219,16939,18975,20384,23026,26741,31529,33844,36303,39793,43903,45572,46240,48068,42672
family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,20,0,0,0,0,0,0,0,0,18,21,23,28,23,23,27,63,76,91,108,90,95,101,126,175,150,156,129,138,144,99,103,86,121,131,201,352,516,594,720,922,950,1152,1239,1470,1550,1540,1907,1841,1674,1800,1765,2288,2154,2361,2172,1865,2045,1984,1983,2003,2116,2318,2075,2098,2027,1957,1943,1927,2193,2366,3090,3661,3610,3481,3175,3446,3478,3667,3684,3705,3930,4415,4211,4821,5156,5431,5626,5654,6313,6821,7021,7492,8399,9393,9096,9494,10184,10434,11008,11051,10732,8589
fantasy,0,0,0,20,28,40,62,89,26,0,0,38,57,47,44,20,38,37,26,0,0,28,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,26,23,30,25,24,0,27,27,24,21,0,26,26,32,34,29,36,32,56,86,98,127,123,44,75,87,176,298,438,138,216,288,422,706,850,843,823,911,793,426,341,430,427,296,249,397,452,325,400,482,756,563,956,891,1021,889,958,969,1188,1180,1207,1067,1357,1213,1619,1710,1701,1875,2119,2576,2316,2321,2747,3347,3156,2902,4087,5005,5323,5626,5885,5937,5219
film_noir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,5,1,1,2,5,9,2,8,6,8,13,5,18,30,44,61,46,53,60,40,27,32,27,35,26,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
history,0,0,0,0,0,0,0,0,0,0,0,0,17,19,27,16,16,24,34,31,23,23,0,0,0,0,29,32,22,0,0,0,24,18,0,0,0,0,24,29,37,42,48,49,41,25,41,40,27,31,30,30,23,37,58,110,169,243,249,168,121,158,111,95,83,95,145,142,143,161,135,140,175,221,191,186,174,186,222,185,191,229,333,234,269,284,216,241,294,210,233,309,220,213,224,317,274,295,373,422,432,657,641,761,703,703,781,1033,1171,1266,1596,1805,2016,2339,3134,3309,3537,3825,3782,2911
horror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,13,8,11,0,11,22,12,0,0,9,0,8,9,0,9,0,14,27,18,16,17,23,8,0,27,18,18,18,18,25,19,24,0,14,36,56,84,95,51,42,73,265,272,279,226,149,157,128,137,229,281,343,404,522,479,600,333,326,301,215,166,180,179,181,231,313,338,309,258,238,281,354,366,507,628,523,497,376,451,478,506,530,635,700,781,924,843,980,1168,1460,1529,1970,2261,2504,3256,4003,4836,5229,5640,5948,5537
music,0,0,0,0,0,0,0,0,0,23,36,70,54,63,0,0,0,35,0,0,12,0,0,0,0,0,28,0,0,0,29,45,107,309,87,71,62,60,64,99,138,222,231,161,70,114,121,106,107,113,227,380,525,744,860,817,454,419,438,619,843,1116,1042,1039,752,615,1005,1078,1205,1698,1780,1414,1424,1743,2148,1697,1476,1320,1344,1620,1397,1273,1199,1154,1364,1040,990,1063,1139,1113,1062,1159,994,1228,1088,1185,1441,1620,1846,1997,1933,2198,2321,2424,2749,2771,3331,4577,5722,6147,6597,6691,7194,7469,7850,8644,8947,9144,8204,6140
musical,0,0,0,0,13,0,0,0,0,0,0,0,40,40,51,4,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,21,21,181,255,123,120,175,201,202,180,194,187,133,111,133,101,119,145,125,119,105,104,167,145,141,139,171,189,204,251,210,154,204,213,185,217,220,252,208,254,332,269,222,263,213,289,256,192,151,186,182,231,208,229,187,208,309,228,218,259,357,252,205,260,226,218,272,234,371,429,591,618,685,459,270,347,406,602,464,494,644,872,1107,1098,1208,1188,1128,948,846
mystery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,77,52,64,44,30,56,71,46,47,35,0,0,0,0,43,39,65,81,65,72,84,79,74,84,86,66,72,75,48,63,74,95,85,70,157,279,337,284,213,264,225,627,702,492,369,387,658,401,271,324,281,430,615,618,842,597,570,658,758,785,707,552,590,373,532,575,485,419,563,470,615,589,612,575,768,783,787,946,837,1109,1267,1323,1429,1548,1382,1709,1727,2047,2365,2522,3047,3528,3517,3496,4505,5280,5973,5797,5480,5564,4812
romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,226,391,326,241,204,0,0,0,0,0,0,146,0,0,149,250,185,174,180,241,225,219,235,273,321,276,346,320,241,223,229,213,165,170,144,166,171,168,228,224,261,279,270,310,405,556,540,500,381,560,397,315,311,321,350,526,765,689,755,754,603,460,387,422,380,361,442,524,485,698,600,857,797,656,670,669,1257,1193,1230,1140,1452,1508,1541,2267,3008,2981,3095,3443,3560,3661,4110,5070,6199,6803,7996,9397,9339,10322,10469,10347,10747,11465,11530,11519,9301
sci_fi,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,5,8,0,6,0,8,5,0,0,7,6,0,0,0,5,0,6,9,14,8,18,13,11,11,9,16,9,15,8,13,5,9,5,8,31,65,138,183,263,232,183,145,93,108,232,268,328,241,307,411,557,840,902,716,546,512,298,298,361,355,346,321,474,688,822,682,715,757,905,802,1337,1125,1150,856,849,892,1018,917,986,1412,1433,1721,1848,1611,2080,2059,2051,2394,2394,2361,2390,2531,2351,2595,3248,3561,4057,4978,5182,5197,4715
sport,0,64,54,155,54,93,62,89,52,68,81,64,110,83,70,0,0,0,0,0,0,0,0,0,0,0,47,0,50,47,44,49,0,55,0,77,76,40,0,41,49,58,63,42,0,44,41,0,0,0,42,52,61,67,48,74,80,57,49,54,62,68,0,42,83,69,91,82,76,105,182,125,153,127,288,249,224,233,262,381,390,305,239,311,227,219,212,259,345,366,411,348,411,457,497,519,543,656,792,736,848,721,1052,1442,1368,1443,1870,1837,2067,2608,3773,3416,3444,3870,4416,4742,4976,5017,5117,4080
thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,105,117,105,105,93,39,0,0,0,0,0,0,0,0,26,0,22,21,0,22,23,25,24,30,37,42,27,48,33,39,57,46,39,49,64,65,70,135,220,216,219,235,209,220,158,198,208,340,264,332,291,279,398,308,442,641,573,563,554,397,382,423,467,380,304,321,314,350,346,343,322,346,479,634,615,727,745,882,907,863,866,1009,1102,1445,1682,1801,1759,1844,2292,2424,2614,2811,2547,3091,3504,3447,4139,5248,5895,6882,7398,7746,8462,7348
war,0,0,55,35,47,34,0,0,44,0,0,0,0,34,0,50,40,47,102,103,59,67,153,32,0,0,0,0,0,0,32,33,35,0,0,0,0,0,0,0,47,133,94,69,72,130,215,215,181,127,65,42,48,79,58,98,64,82,56,88,142,264,207,150,129,132,165,240,275,330,350,263,252,230,248,184,165,167,180,175,170,206,221,186,180,192,176,190,179,172,160,211,230,284,214,136,131,142,358,111,118,130,144,161,166,348,300,351,492,568,486,666,813,777,882,938,1053,1335,1354,835
western,0,0,0,0,0,0,0,0,0,0,0,0,0,107,387,515,579,500,408,308,219,182,139,209,182,218,214,162,219,288,248,210,207,120,112,101,115,0,91,158,141,141,129,137,145,138,128,109,114,95,106,112,138,172,253,268,347,303,311,538,708,932,1138,1332,1240,921,562,441,365,503,641,587,440,399,289,276,242,174,186,140,126,122,120,114,0,94,115,0,0,0,0,100,0,105,157,139,102,131,159,197,131,97,117,88,0,87,137,88,96,195,190,144,144,207,307,334,398,403,471,378
